"","Koppen","Estacion","Lluvia","VelRafaga","Vel9am","Vel3pm","Hum9am","Hum3pm","Pres9am","Pre3pm","Temp9am","Nub9am","Nub3pm","Evaporacion","Sol","Temp3pm","LluviaHoy","target"
"1","Grassland","Invierno",0,72,19,24,64,30,1013.2,1007.7,9.9,1,7,3,5.5,19.2,0,13.4
"2","Subtropical","Primavera",0.4,28,11,6,75,71,1014.5,1012.4,23.6,8,8,7.8,0.7,24.2,0,2.9
"3","Temperate","Otoño",0,31,7,4,77,57,1021.3,1018.7,17.3,7,7,4,0.4,22.4,0,6.6
"4","Grassland","Primavera",2.8,44,13,15,72,36,1014.6,1012.9,22.5,2,1,9.8,9.8,25.6,1,8.3
"5","Subtropical","Otoño",3.4,83,43,33,74,93,1009.9,1004.5,21.3,8,7,4,0.7,20.9,1,2.3
"6","Temperate","Verano",0,54,30,30,71,64,1006.1,1007.2,18.2,7,8,12.2,2.3,19.8,0,2.4
"7","Temperate","Otoño",0,31,22,9,57,36,1026.2,1022.9,18.3,0,1,3,10.6,24.6,0,14.6
"8","Tropical","Primavera",0,33,11,19,59,55,1015.5,1011.9,27.2,2,1,7.4,10,28.6,0,10
"9","Temperate","Invierno",0,35,4,19,61,51,1017.9,1017.5,7.6,0,4,2.2,8.6,10.8,0,9.4
"10","Temperate","Primavera",0.4,24,9,17,83,61,1024.9,1022.9,10.9,2,1,7,11.8,18.6,0,13.8
"11","Subtropical","Verano",0.6,30,11,11,60,60,1013.9,1010.4,26.9,6,7,6,6.3,27,0,5.4
"12","Subtropical","Otoño",1.4,33,17,22,68,56,1017,1015.8,21.2,2,1,3.6,10.7,22.9,1,6.9
"13","Subtropical","Primavera",0,17,4,7,64,40,1029.3,1024.9,22.3,0,0,7.4,11.3,27.7,0,14.8
"14","Tropical","Verano",4,57,0,13,71,73,1007.8,1005.2,29,7,7,3.4,4.3,29.4,1,7.9
"15","Temperate","Otoño",0,35,11,17,82,38,1015.6,1013.9,19.3,1,4,4,11.4,29.3,0,17.4
"16","Tropical","Otoño",3.2,31,11,22,80,64,1013.4,1009.7,28.9,1,4,4.8,8.9,31.5,1,7.7
"17","Subtropical","Primavera",3.8,46,17,19,57,56,1018.2,1019.1,13.1,7,7,3.6,3,13.9,1,4.1
"18","Temperate","Verano",2,37,9,28,62,48,1008.3,1006.3,17,3,3,7,11.4,23.3,1,14.2
"19","Subtropical","Otoño",0,39,22,15,62,38,1023.5,1018.8,14.9,4,1,3.2,9.2,21.4,0,11.4
"20","Subtropical","Otoño",0,28,7,13,62,38,1025.6,1023.1,16.6,1,1,2.2,8.9,21.1,0,10.6
"21","Subtropical","Otoño",3.4,24,4,9,81,62,1023.1,1018.8,22.5,3,5,4.6,10.3,26.3,1,9.1
"22","Subtropical","Verano",0,52,20,28,69,61,1014,1008,23.9,8,8,7.4,1.5,26,0,6.6
"23","Subtropical","Verano",0,46,22,28,84,88,1009.4,1007.9,24.4,7,8,4.6,0.9,24.5,0,3.7
"24","Temperate","Primavera",21.4,63,28,37,89,87,998.7,997.6,10.3,8,7,3.8,2.8,10,1,3.7
"25","Subtropical","Verano",0,39,17,13,38,18,1011.9,1009.2,27.1,0,0,10.6,13.2,36,0,17.8
"26","Desert","Primavera",0,54,26,31,14,7,1021.4,1017.9,24.8,0,2,10.2,9.7,35.3,0,19.8
"27","Temperate","Invierno",9.6,54,17,24,92,63,1007,1005.9,7.3,7,7,2.4,2.7,11.4,1,4.8
"28","Grassland","Invierno",0,26,11,15,97,61,1033.2,1030.6,7.4,5,2,1.6,8.6,17.2,0,12.6
