"","Koppen","Estacion","Lluvia","VelRafaga","Vel9am","Vel3pm","Hum9am","Hum3pm","Pres9am","Pre3pm","Temp9am","Nub9am","Nub3pm","Evaporacion","Sol","Temp3pm","LluviaHoy","target"
"1","Temperate","Primavera",0,37,19,26,85,46,1024.8,1020.6,10.9,1,1,2,8,18.8,0,15.8
"2","Tropical","Otoño",0,28,2,19,68,62,1013.9,1010.4,26.7,1,1,4.8,10.6,29.2,0,11.4
"3","Temperate","Invierno",0,24,0,9,95,79,1022.9,1017.7,6.2,7,8,0.4,0.1,11.5,0,9.4
"4","Grassland","Primavera",0,43,24,22,21,10,1023.3,1018.5,15,0,0,7.8,11.3,21.7,0,18.1
"5","Subtropical","Primavera",3,35,9,24,62,57,1018.5,1015.1,20.4,7,8,4.8,0.4,22.6,1,6.7
"6","Tropical","Otoño",30,44,11,33,98,74,1015.5,1011.6,23.2,7,6,1.8,0.3,27,1,5.1
"7","Subtropical","Primavera",0,48,15,24,58,65,1023,1021.4,17.2,5,5,5.2,10.2,20,0,10.9
"8","Subtropical","Otoño",0.2,37,15,15,55,47,1020.1,1018.9,17.4,6,8,4.2,3.6,17.4,0,3.9
"9","Temperate","Verano",0,56,11,33,73,58,1010.5,1007,21.4,5,7,5.8,8.7,25.7,0,9.8
"10","Tropical","Invierno",0,33,17,22,78,61,1013.2,1010.2,23,8,7,5.2,1.5,25.6,0,5.4
"11","Tropical","Invierno",0,35,19,26,74,42,1016.5,1013.4,20.6,5,1,4.6,2,26.8,0,11.4
"12","Tropical","Otoño",1.4,35,17,7,88,67,1011.1,1008,27.2,7,7,6.6,3.7,29.4,1,5.3
"13","Subtropical","Verano",0,52,11,22,41,55,1004.1,1005.4,27.6,5,7,13.6,12.7,28.3,0,13.7
"14","Subtropical","Verano",145,67,37,13,90,76,998.4,998.1,25.2,8,7,2.1,3.2,27.4,1,5.7
"15","Temperate","Otoño",1.6,22,2,9,92,72,1005.8,1002.1,11.9,8,7,0.6,0.1,15.1,1,4.7
"16","Tropical","Verano",0,50,4,11,74,65,1014.1,1011.3,30.9,5,6,5.4,5.4,31.6,0,6.2
"17","Temperate","Primavera",3,72,43,35,83,76,1008.6,1015.6,13.3,8,8,6,4.7,14.6,1,3.5
"18","Temperate","Verano",0,50,17,26,62,38,1007.1,1008.5,16.1,7,5,8.2,11,20,0,9.7
"19","Temperate","Otoño",7.8,52,22,28,64,49,1018.2,1016.2,15.4,7,5,1.4,7.5,19.5,1,7.3
"20","Subtropical","Verano",0,43,19,24,38,26,1010.1,1006.2,27.6,1,1,13.4,13,36.2,0,18.2
"21","Temperate","Verano",0,22,6,9,60,62,1012.3,1011.4,21.5,8,8,10.6,3.2,21.6,0,5.9
"22","Grassland","Otoño",0,28,11,15,26,35,1017.3,1016.5,19.5,2,1,7.6,9.9,25.6,0,10.9
"23","Subtropical","Invierno",0,44,28,28,60,51,1022,1021.8,12.1,1,1,3,9.6,14.6,0,6
"24","Subtropical","Otoño",0,35,15,22,59,55,1023.9,1021.1,20,7,6,4.4,5.4,22.1,0,6.3
"25","Tropical","Primavera",9,31,15,13,74,64,1017.7,1013.9,25.5,7,6,6.8,0.8,27.1,1,7
"26","Tropical","Invierno",0,24,11,19,66,55,1018.4,1014.9,21.9,1,1,3.4,10.7,25.7,0,13.5
